0.8685133239831696
class4,p
nonevent,0.17084833633722915
II,0.8546079769290416
nonevent,0.00034789598603721957
nonevent,0.17990626084176428
nonevent,0.19236182249172457
II,0.7296617222331203
nonevent,0.154954142098117
nonevent,0.04106913751768847
II,0.6206745460989481
nonevent,0.01760731095759192
nonevent,0.10187542020745731
nonevent,0.005656684940090289
nonevent,0.10503895470729058
II,0.9545217047379465
nonevent,0.49600534328661866
II,0.5746555300609456
nonevent,0.06714174322781641
nonevent,0.030076740792069314
II,0.6250255014136139
nonevent,0.3442847532307239
nonevent,0.32611494727256285
nonevent,0.11212954880312642
II,0.7329284290120495
nonevent,0.4652434514361285
II,0.9962367093593383
nonevent,0.0023599365685963093
II,0.5343960502379647
II,0.8986177800803831
II,0.943377331780267
II,0.9834849962209792
II,0.6363906740482492
II,0.7050746959849998
nonevent,0.010266902579815785
II,0.9961181323202877
II,0.9504084941021725
II,0.9187742001677882
nonevent,0.1938015447279243
nonevent,0.0018079823136683201
nonevent,0.08017389544430499
II,0.9671322297552333
nonevent,0.003387236897381633
nonevent,0.3968755385064
nonevent,0.20931338374970335
II,0.824686207099991
nonevent,0.014745597713461362
nonevent,0.018721254740457546
nonevent,0.007631375698580047
nonevent,0.24977986636714392
nonevent,0.42446883347067255
II,0.9872007894043988
nonevent,0.2021893030704644
II,0.9639042189607995
nonevent,0.010218256852897971
II,0.9205656380624188
nonevent,0.21729553791327588
II,0.945040599585584
nonevent,0.0024523382054500247
II,0.9950276710332423
II,0.9967928594234889
II,0.5225183415558281
nonevent,0.003432647425610122
nonevent,0.3468398379414948
II,0.989917935242727
II,0.8965236142794469
II,0.9560355624656199
nonevent,0.27484352618508845
II,0.9962860738787979
II,0.6367676742454742
II,0.6902668701887956
nonevent,0.002801371317352331
nonevent,0.022071686137167378
nonevent,0.030486068526146354
II,0.9974451704253089
II,0.5874417432827816
II,0.9857883938553692
nonevent,0.24313122956508743
nonevent,0.0006699680546282603
nonevent,0.04216886866343706
II,0.9266284561992829
nonevent,0.01250239311936371
II,0.9182427822341988
